id,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,location
4.0,124640,2,0,5,0.994,0.352,0.00218,0.795,0.0853,-40.647,0.0539,0.334,131.709,10
5.0,301160,1,1,3,0.994,0.226,0.0293,0.892,0.107,-30.236,0.0448,0.0385,87.933,9
6.0,160787,2,0,4,0.921,0.377,0.504,0.951,0.071,-16.288,0.0322,0.944,134.259,9
7.0,152027,1,0,4,0.974,0.519,0.116,0.433,0.312,-22.742,0.0477,0.428,116.533,9
8.0,148560,11,1,4,0.98,0.407,0.0982,0.914,0.109,-24.18,0.0724,0.464,138.125,14
9.0,681147,10,0,4,0.881,0.239,0.0867,0.000105,0.161,-21.704,0.0398,0.184,92.414,9
10.0,142840,8,1,4,0.993,0.456,0.146,0.907,0.112,-18.886,0.0483,0.183,114.263,9
11.0,674267,11,0,4,0.899,0.283,0.141,0.000317,0.122,-17.676,0.0413,0.227,83.461,11
12.0,164413,1,0,1,0.981,0.563,0.0609,0.107,0.118,-23.07,0.0426,0.436,94.522,9
13.0,76707,4,1,3,0.995,0.469,0.0134,0.916,0.102,-26.023,0.0502,0.0357,122.441,14
14.0,181907,9,1,4,0.986,0.217,0.0426,0.0123,0.112,-21.054,0.054,0.387,160.261,9
15.0,246133,0,0,3,0.876,0.268,0.0932,2.94e-05,0.088,-21.951,0.0415,0.159,112.486,9
16.0,43920,5,0,4,0.994,0.364,0.261,0.897,0.114,-20.162,0.0295,0.661,63.189,9
17.0,247747,4,1,3,0.995,0.447,0.0324,0.888,0.132,-26.969,0.0439,0.0732,71.719,11
19.0,263200,7,1,3,0.963,0.118,0.0421,0.699,0.105,-22.686,0.0408,0.225,87.544,14
20.0,232187,11,0,4,0.422,0.154,0.111,0.000717,0.0964,-17.433,0.0364,0.144,137.423,9
21.0,491293,1,1,4,0.9,0.29,0.146,0.667,0.129,-20.418,0.0359,0.186,94.402,9
22.0,400800,0,1,4,0.961,0.422,0.21,0.00398,0.114,-14.721,0.0402,0.351,126.279,9
23.0,216800,2,1,4,0.953,0.301,0.0869,0.0347,0.111,-23.582,0.0376,0.287,83.66,9
24.0,713227,2,1,3,0.942,0.507,0.159,0.754,0.124,-16.53,0.036,0.159,112.644,10
25.0,132400,11,1,5,0.835,0.295,0.148,0.0133,0.143,-25.228,0.047,0.704,125.686,11
26.0,249500,9,0,4,0.974,0.498,0.456,0.902,0.101,-12.8,0.0311,0.628,101.151,10
27.0,286520,2,0,3,0.966,0.35,0.183,0.454,0.163,-17.413,0.0334,0.112,104.921,11
28.0,535240,5,1,4,0.986,0.398,0.153,0.686,0.149,-17.385,0.0426,0.56,132.603,10
29.0,274507,2,0,4,0.925,0.29,0.115,0.049,0.14,-16.963,0.0383,0.151,123.855,14
30.0,147320,1,1,4,0.944,0.459,0.287,0.0214,0.183,-16.162,0.0338,0.412,127.697,9
31.0,223333,7,0,5,0.992,0.492,0.0205,0.00133,0.109,-16.258,0.0434,0.437,132.478,15
32.0,220120,9,0,4,0.913,0.285,0.0775,0.000786,0.0968,-20.364,0.0417,0.162,103.794,9
33.0,180093,0,0,4,0.861,0.333,0.476,0.0117,0.148,-17.9,0.0335,0.698,105.889,9
